Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
H187A12R2C03 ,Jessup Asphalt Plant ,4,4,64-22,25,-,-,-,-,densa,HMA,143-154,-,-,-,-,"22,07","0,83","23,63","46,53",417,11,363,791,1339,N/A,N/A,1339,227,N/A,0,227,https://asphaltepd.org/epd/d/QVUJbD/
H187A12R2C04 ,Jessup Asphalt Plant ,3,3,64-22,35,-,-,-,-,densa,HMA,138-171,-,-,-,-,"19,67","1,48","23,63","44,79",371,20,363,753,1190,N/A,N/A,1190,318,N/A,0,318,https://asphaltepd.org/epd/d/LDUddO/
H187A12R2C05 ,Jessup Asphalt Plant ,3,3,64-22,35,-,-,-,-,densa,HMA,138-171,-,-,-,-,"19,67","1,48","23,63","44,79",371,20,363,753,1190,N/A,N/A,1190,318,N/A,0,318,https://asphaltepd.org/epd/d/aRUddp/
H187A12R2F01 ,Jessup Asphalt Plant ,4,4,76-22,25,-,-,-,-,densa,HMA,143-177,-,-,-,-,"26,22","2,09","23,63","51,94",480,28,363,870,1339,N/A,N/A,1339,227,N/A,0,227,https://asphaltepd.org/epd/d/mYUrPQ/
H187A12R3C03 ,Jessup Asphalt Plant ,4,4,64-22,24,-,-,-,-,densa,HMA,138-166,-,-,-,-,"21,50","2,05","23,63","47,19",407,27,363,796,1302,N/A,N/A,1302,218,N/A,0,218,https://asphaltepd.org/epd/d/9JUmwj/
H187A12R4C03 ,Jessup Asphalt Plant ,4,4,64-22,24,-,-,-,-,densa,HMA,138-166,-,-,-,-,"21,50","2,36","23,63","47,50",407,31,363,800,1302,N/A,N/A,1302,218,N/A,0,218,https://asphaltepd.org/epd/d/YqUm5E/
H187A19C1C03 ,Jessup Asphalt Plant ,3,3,64-22,12,-,-,-,-,densa,HMA,143-177,-,-,-,-,"17,69","2,01","23,63","43,33",331,27,363,720,1041,N/A,N/A,1041,145,N/A,0,145,https://asphaltepd.org/epd/d/KoUJq8/
H187A19C2C03 ,Jessup Asphalt Plant ,3,3,64-22,11,-,-,-,-,densa,HMA,138-166,-,-,-,-,"19,41","2,32","23,63","45,37",364,31,363,758,1153,N/A,N/A,1153,136,N/A,0,136,https://asphaltepd.org/epd/d/qmU6de/
H187A19C2C04 ,Jessup Asphalt Plant ,3,3,64-22,20,-,-,-,-,densa,HMA,143-177,-,-,-,-,"15,89","2,22","23,63","41,74",296,29,363,688,930,N/A,N/A,930,218,N/A,0,218,https://asphaltepd.org/epd/d/keUvAZ/
H187A19C4C03 ,Jessup Asphalt Plant ,2,2,64-22,12,-,-,-,-,densa,HMA,143-160,-,-,-,-,"15,40","2,19","23,63","41,23",287,29,363,678,893,N/A,N/A,893,145,N/A,0,145,https://asphaltepd.org/epd/d/6QU6ak/
H187A25R2C03 ,Jessup Asphalt Plant ,3,3,64-22,20,-,-,-,-,densa,HMA,143-177,-,-,-,-,"18,12","0,50","23,63","42,25",341,7,363,710,1079,N/A,N/A,1079,181,N/A,0,181,https://asphaltepd.org/epd/d/rQUrXq/
H187A25R4C03 ,Jessup Asphalt Plant ,3,3,64-22,19,-,-,-,-,densa,HMA,143-171,-,-,-,-,"18,13","1,51","23,63","43,27",341,20,363,724,1079,N/A,N/A,1079,172,N/A,0,172,https://asphaltepd.org/epd/d/1AUKrR/
12.5mm SMA ,Massey HMA Plant ,6,6,76-22,9,-,-,"Fibers, natural - Cellulose*",< 1%,aberta,WMA,146-163,-,-,7,-,"43,54","5,22","20,93","69,69",804,69,106,979,2268,N/A,N/A,2268,85,N/A,0,85,https://asphaltepd.org/epd/d/zwU4j/
12.5mm Wearing ,Massey HMA Plant ,3,3,64-22,34,-,-,-,-,densa,WMA,138-157,-,-,-,-,"19,12","3,78","20,93","43,83",360,50,106,515,1153,N/A,N/A,1153,308,N/A,0,308,https://asphaltepd.org/epd/d/P5UKK/
