Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
211093 Ty D 70-22 (3) ,Seward ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,10,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,149-166,-,-,-,-,"32,39","1,49","23,17","57,05",595,20,70,685,1638,N/A,N/A,1638,87,N/A,0,87,https://asphaltepd.org/epd/d/pMUDzB/
211101 Ty D 76-22 (3) ,Seward ,SBS modified - 3.5% styrene-butadiene-styrene,4,76-22,9,-,-,-,-,densa,HMA,149-166,-,-,-,-,"30,51","1,48","23,17","55,16",561,20,70,651,1562,N/A,N/A,1562,78,N/A,0,78,https://asphaltepd.org/epd/d/YqUzJe/
212908 Ty C 64-22 (3) ,Seward ,Unmodified,4,64-22,10,-,-,-,-,densa,HMA,143-160,-,-,-,-,"26,23","1,47","23,17","50,87",499,20,70,588,1599,N/A,N/A,1599,87,N/A,0,87,https://asphaltepd.org/epd/d/xPUyV1/
213015 Ty D 64-22 (3) ,Seward ,Unmodified,4,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,143-160,-,-,-,-,"26,07","1,35","23,17","50,59",494,18,70,582,1564,N/A,N/A,1564,174,N/A,0,174,https://asphaltepd.org/epd/d/xPU5Xe/
224235 TOM-C 76-22 (3) ,Seward ,SBS modified - 3.5% styrene-butadiene-styrene,7,76-22,-,-,-,-,-,other,HMA,149-166,-,-,-,-,"46,40","2,03","23,17","71,60",858,27,70,955,2418,N/A,N/A,2418,0,N/A,0,0,https://asphaltepd.org/epd/d/BZUy4D/
225050 Ty D 70-22 (3) ,Seward ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,-,-,-,-,-,densa,HMA,149-166,-,-,-,-,"36,10","1,64","23,17","60,91",666,22,70,758,1860,N/A,N/A,1860,0,N/A,0,0,https://asphaltepd.org/epd/d/85Ur32/
212908 Ty C 64-22 (1) ,Waco ,Unmodified,5,64-22,10,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,143-160,-,-,-,-,"30,11","12,76","24,29","67,16",572,169,411,1153,1789,N/A,N/A,1789,86,N/A,0,86,https://asphaltepd.org/epd/d/vZUzyY/
212909 Ty D 64-22 (1) ,Waco ,Unmodified,5,64-22,9,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,143-160,-,-,-,-,"27,89","12,08","24,29","64,27",530,160,411,1102,1676,N/A,N/A,1676,78,N/A,0,78,https://asphaltepd.org/epd/d/YqUmad/
213005 Ty B 64-22 (1) ,Waco ,Unmodified,4,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,143-160,-,-,-,-,"23,78","9,70","24,29","57,77",450,129,411,990,1415,N/A,N/A,1415,175,N/A,0,175,https://asphaltepd.org/epd/d/J5Ujpa/
213015 Ty D 64-22 (1) ,Waco ,Unmodified,5,64-22,19,Ingevity Evotherm M1,< 1%,-,-,densa,HMA,143-160,-,-,-,-,"28,86","10,67","24,29","63,82",548,142,411,1100,1714,N/A,N/A,1714,173,N/A,0,173,https://asphaltepd.org/epd/d/5mUDR8/
216027 - 04294 ,Navigation ,Unmodified,3,64-22,30,-,-,-,-,densa,HMA,149-166,-,-,-,-,"17,84","5,79","21,17","44,80",335,77,363,775,1067,N/A,N/A,1067,272,N/A,0,272,https://asphaltepd.org/epd/d/OPUEXB/
216045 - 04294 ,Navigation ,Unmodified,4,64-22,20,-,-,-,-,densa,HMA,149-166,-,-,-,-,"22,46","7,15","21,17","50,78",425,95,363,884,1361,N/A,N/A,1361,181,N/A,0,181,https://asphaltepd.org/epd/d/YqU5qP/
216055 - 04294 ,Navigation ,Unmodified,4,64-22,20,-,-,-,-,densa,HMA,154-174,-,-,-,-,"27,15","7,14","21,17","55,45",516,95,363,974,1666,N/A,N/A,1666,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUOjl/
