Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
"L2 3/8"" ",112-Foster Rd ,Unmodified,6,64-22,15,-,-,-,-,densa,HMA,149-163,-,-,-,-,"34,91","3,37","21,54","59,82",667,45,378,1089,2168,N/A,N/A,2168,133,N/A,0,133,https://asphaltepd.org/epd/d/85UMgR/
"L3 1/2"" PG64-22 ",112-Foster Rd ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"25,67","2,76","21,54","49,97",487,37,378,901,1577,N/A,N/A,1577,271,N/A,0,271,https://asphaltepd.org/epd/d/qmUrLO/
"L3 1/2"" PG70-22 ",112-Foster Rd ,Unmodified,4,70-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"25,16","2,74","21,54","49,43",477,36,378,891,1544,N/A,N/A,1544,270,N/A,0,270,https://asphaltepd.org/epd/d/DdUoD2/
MOD C ,112-Foster Rd ,Unmodified,5,64-22,25,-,-,-,-,densa,HMA,149-163,-,-,-,-,"31,27","2,98","21,54","55,78",596,40,378,1013,1938,N/A,N/A,1938,223,N/A,0,223,https://asphaltepd.org/epd/d/keUPRB/
15134520 ,Coburg ,Unmodified,6,64-22,30,-,-,-,-,densa,WMA,149-155,-,-,-,-,"35,72","1,27","23,70","60,70",682,17,412,1111,2232,N/A,N/A,2232,272,N/A,0,272,https://asphaltepd.org/epd/d/mYUPBo/
15134600 ,Coburg ,Unmodified,6,Não reportado,35,-,-,-,-,Não reportada,HMA,144-151,-,-,-,-,"35,10","1,20","23,70","60,01",670,16,412,1098,2194,N/A,N/A,2194,318,N/A,0,318,https://asphaltepd.org/epd/d/lyUa41/
15153520 ,Coburg ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"33,44","1,19","23,70","58,33",638,16,412,1066,2083,N/A,N/A,2083,272,N/A,0,272,https://asphaltepd.org/epd/d/AKUm2e/
15154520 ,Coburg ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"35,72","1,27","23,70","60,70",682,17,412,1111,2232,N/A,N/A,2232,272,N/A,0,272,https://asphaltepd.org/epd/d/QVUb6m/
15155320 ,Coburg ,Unmodified,6,Não reportado,20,-,-,-,-,Não reportada,HMA,150-156,-,-,-,-,"36,40","1,29","23,70","61,40",696,17,412,1125,2269,N/A,N/A,2269,181,N/A,0,181,https://asphaltepd.org/epd/d/eBUgbe/
15164320 ,Coburg ,SBS modified - 3.5% styrene-butadiene-styrene,6,Não reportado,20,-,-,-,-,Não reportada,HMA,172-177,-,-,-,-,"42,07","1,21","23,70","66,98",776,16,412,1205,2194,N/A,N/A,2194,181,N/A,0,181,https://asphaltepd.org/epd/d/wRUrka/
15164359 ,Coburg ,SBS modified - 3.5% styrene-butadiene-styrene,6,70-22,20,-,-,-,-,densa,HMA,163-169,-,-,-,-,"42,07","1,25","23,70","67,02",776,17,412,1205,2194,N/A,N/A,2194,181,N/A,0,181,https://asphaltepd.org/epd/d/QVU7XR/
15804320 ,Coburg ,Unmodified,6,64-22,20,-,-,-,-,densa,WMA,143-152,-,-,-,-,"37,54","1,29","23,70","62,53",718,17,412,1147,2343,N/A,N/A,2343,181,N/A,0,181,https://asphaltepd.org/epd/d/3JUOaL/
16134501 ,Coburg ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,144-149,-,-,2,-,"35,18","1,20","23,70","60,09",670,16,412,1099,2194,N/A,N/A,2194,290,N/A,0,290,https://asphaltepd.org/epd/d/25U99O/
16134520 ,Coburg ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,150-156,-,-,-,-,"34,58","1,23","23,70","59,51",660,16,412,1089,2157,N/A,N/A,2157,272,N/A,0,272,https://asphaltepd.org/epd/d/drU6kA/
16134600 ,Coburg ,Unmodified,6,Não reportado,35,-,-,-,-,Não reportada,HMA,144-149,-,-,-,-,"35,10","1,20","23,70","60,01",670,16,412,1098,2194,N/A,N/A,2194,318,N/A,0,318,https://asphaltepd.org/epd/d/6QUb6b/
16154520 ,Coburg ,Unmodified,6,64-22,30,-,-,-,-,densa,WMA,146-152,-,-,-,-,"34,01","1,21","23,70","58,92",649,16,412,1077,2120,N/A,N/A,2120,272,N/A,0,272,https://asphaltepd.org/epd/d/rQUx6X/
16155320 ,Coburg ,Unmodified,6,64-22,20,-,-,-,-,densa,WMA,143-152,-,-,-,-,"36,97","0,58","23,70","61,26",707,8,412,1127,2306,N/A,N/A,2306,181,N/A,0,181,https://asphaltepd.org/epd/d/pMUYVZ/
10144059 ,Hilroy ,Unmodified,6,Não reportado,-,-,-,-,-,Não reportada,HMA,169-177,-,-,-,-,"37,18","2,08","19,68","58,94",712,28,346,1085,2306,N/A,N/A,2306,0,N/A,0,0,https://asphaltepd.org/epd/d/rQUv8j/
15133520 ,Hilroy ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,152-157,-,-,-,-,"34,03","1,57","19,68","55,28",649,21,346,1016,2120,N/A,N/A,2120,281,N/A,0,281,https://asphaltepd.org/epd/d/OPULpK/
15134420 ,Hilroy ,Unmodified,6,Não reportado,25,-,-,-,-,Não reportada,HMA,129-135,-,-,-,-,"35,79","1,72","19,68","57,19",683,23,346,1052,2232,N/A,N/A,2232,235,N/A,0,235,https://asphaltepd.org/epd/d/E3UAq5/
15134520 ,Hilroy ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"35,74","1,64","19,68","57,06",682,22,346,1050,2232,N/A,N/A,2232,281,N/A,0,281,https://asphaltepd.org/epd/d/9JUwar/
15135320 ,Hilroy ,Unmodified,6,Não reportado,20,-,-,-,-,Não reportada,HMA,150-156,-,-,-,-,"37,56","1,83","19,68","59,06",718,24,346,1088,2343,N/A,N/A,2343,190,N/A,0,190,https://asphaltepd.org/epd/d/gGUQoB/
15153520 ,Hilroy ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"34,03","1,57","19,68","55,28",649,21,346,1016,2120,N/A,N/A,2120,281,N/A,0,281,https://asphaltepd.org/epd/d/1AU4Eb/
15154420 ,Hilroy ,Unmodified,6,Não reportado,25,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"35,22","1,67","19,68","56,57",672,22,346,1040,2194,N/A,N/A,2194,235,N/A,0,235,https://asphaltepd.org/epd/d/P5UwJL/
15154520 ,Hilroy ,Unmodified,6,Não reportado,30,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"35,17","1,63","19,68","56,48",671,22,346,1039,2194,N/A,N/A,2194,281,N/A,0,281,https://asphaltepd.org/epd/d/XZUO9A/
15164359 ,Hilroy ,SBS modified - 3.5% styrene-butadiene-styrene,6,Não reportado,20,-,-,-,-,Não reportada,HMA,168-175,-,-,-,-,"41,40","1,73","19,68","62,81",764,23,346,1132,2157,N/A,N/A,2157,190,N/A,0,190,https://asphaltepd.org/epd/d/lyUZLb/
15424259 ,Hilroy ,SBS modified - 3.5% styrene-butadiene-styrene,6,Não reportado,15,-,-,-,-,Não reportada,HMA,164-171,-,-,-,-,"42,14","1,82","19,68","63,63",778,24,346,1148,2194,N/A,N/A,2194,145,N/A,0,145,https://asphaltepd.org/epd/d/3JUVdd/
15804320 ,Hilroy ,Unmodified,6,Não reportado,20,-,-,-,-,Não reportada,HMA,149-155,-,-,-,-,"37,56","1,83","19,68","59,06",718,24,346,1088,2343,N/A,N/A,2343,191,N/A,0,191,https://asphaltepd.org/epd/d/LDU8Rk/
