Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
PG-58-28 ,Portable Hot Plant 100904 ,Unmodified,7,58-28,19,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,127-160,-,-,-,-,"51,28","2,21","22,25","75,74",803,29,72,904,2418,N/A,N/A,2418,168,N/A,0,168,https://asphaltepd.org/epd/d/9JUaAy/
PG58-34 ,Portable Hot Plant 100904 ,Unmodified,5,58-34,19,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,127-160,-,-,-,-,"42,14","0,81","22,25","65,19",625,11,72,708,1823,N/A,N/A,1823,172,N/A,0,172,https://asphaltepd.org/epd/d/pMUE7m/
SX75 PG 58-28 ,Portable Hot Plant 100905 ,Unmodified,6,58-28,9,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,138-154,-,-,-,-,"50,81","4,24","22,73","77,78",794,56,84,934,2380,N/A,N/A,2380,85,N/A,0,85,https://asphaltepd.org/epd/d/mYUBlV/
SX75 PG 64-28 ,Portable Hot Plant 100905 ,PPA Modified - up to 1% polyphosphoric acid,6,64-28,9,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,146-163,-,-,-,-,"51,83","4,27","22,73","78,83",809,57,84,950,2380,N/A,N/A,2380,85,N/A,0,85,https://asphaltepd.org/epd/d/aRUbBM/
"12-921 5/8"" PG64-22 ",Roland Hot Plant ,Unmodified,5,Não reportado,15,Ingevity Evotherm M1,< 1%,-,-,Não reportada,HMA,141-141,-,-,-,-,"31,70","0,15","16,09","47,94",602,2,263,867,1865,N/A,N/A,1865,136,N/A,0,136,https://asphaltepd.org/epd/d/vZUGGj/
"12-922 5/8"" PG64-22 w/Lime ",Roland Hot Plant ,Unmodified,4,Não reportado,15,-,-,Antistrip Agents - Hydrated lime,< 1%,Não reportada,HMA,141-141,-,-,-,-,"37,04","2,85","16,09","55,98",527,38,263,828,1488,N/A,N/A,1488,136,N/A,0,136,https://asphaltepd.org/epd/d/5mUKKJ/
SXPG 76-28 ,Roland Hot Plant ,PPA Modified - up to 1% polyphosphoric acid,5,76-28,19,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-160,-,-,-,-,"44,09","3,38","16,09","63,56",660,45,263,967,1897,N/A,N/A,1897,172,N/A,0,172,https://asphaltepd.org/epd/d/drUJ29/
"12-901 5/8"" PG58-28 ",Silverthorne Hot Plant ,Unmodified,6,Não reportado,20,-,-,-,-,Não reportada,HMA,138-138,-,-,-,-,"32,97","0,84","19,51","53,32",629,11,329,970,2046,N/A,N/A,2046,181,N/A,0,181,https://asphaltepd.org/epd/d/ZXU7G/
12-901 SX(75) PG58-34 Lime ,Silverthorne Hot Plant ,PPA Modified - up to 1% polyphosphoric acid,5,Não reportado,20,-,-,Antistrip Agents - Hydrated lime,< 1%,Não reportada,HMA,157-157,-,-,-,-,"45,26","1,14","19,51","65,91",682,15,329,1026,1971,N/A,N/A,1971,181,N/A,0,181,https://asphaltepd.org/epd/d/4RURv/
CDOT ST 75 ,Animas Glacier ,Unmodified,5,58-28,19,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,138-154,-,-,-,-,"42,02","2,74","27,19","71,95",623,36,449,1109,1815,N/A,N/A,1815,172,N/A,0,172,https://asphaltepd.org/epd/d/OPU9q/
